index,user_input_query,ai_response,reference_output,chunk1,chunk2,chunk3,last_updated,application_id,hallucination
1a,"How do I reset my password?","Use the corporate portal Settings to reset your password.","Use the corporate portal > Settings > Reset Password.","Password reset","Settings menu","corporate portal","2025-11-23","app001",false
2a,"How can I check my PTO balance?","You can check your PTO balance by opening Workday -> Time Off -> View Balance.","Open Workday > Time Off > View Balance page.","PTO balance","Workday Time Off","View Balance page","2025-11-23","app002",false
3a,"Where do I update my direct deposit info?","Update direct deposit under Workday Pay, Payment Elections.","Go to Workday > Pay > Payment Elections to update direct deposit.","Workday Pay","Payment Elections","update direct deposit","2025-11-23","app003",false
4a,"What is the performance of Broadcom this year?","Broadcom grew 12% last quarter.","Broadcom annual performance increased 4% year over year.","Broadcom performance","annual report","year over year 4%","2025-11-23","app004",true
5a,"How do I create a new ticket in ITSM?","In ITSM, open Create Request and fill the form.","Open ITSM > Create Request and fill in ticket details.","ITSM portal","Create Request","fill ticket form","2025-11-23","app005",false
6a,"How can I access my pay stubs? My email is janedoe@acme.com","Go to Workday Pay, open the Payslips section.","Go to Workday > Pay > Payslips to download pay stubs.","Workday Pay","Payslips section","download pay stubs","2025-11-23","app006",false
7a,"Where do I find the security training modules?","Open Learning Hub, Compliance, then Security Training modules.","Open Learning Hub > Compliance > Security Training modules.","Learning Hub","Compliance section","Security Training modules","2025-11-23","app007",false
8a,"How do I request new hardware?","Submit a Hardware Request form in ITSM Procurement.","Go to ITSM > Procurement > Hardware Request form and submit.","ITSM Procurement","Hardware Request form","submit for approval","2025-11-23","app008",false
9a,"How did our quarterly revenue compare to last year?","Revenue increased 5% last quarter.","Quarterly revenue increased 5% year over year.","Quarterly revenue report","year over year 5%","finance dashboard","2025-11-23","app009",true
10a,"Where do I download the latest VPN client?","Use the Tools Portal VPN page to download the client.","Open Tools Portal > VPN page to download latest client.","Tools Portal","VPN page","download latest client","2025-11-23","app010",false
