index,user_input_query,ai_response,reference_output,chunk1,chunk2,chunk3,last_updated,application_id,hallucination
1a,"How do I reset my password?","Use the corporate portal Settings to reset your password.","Use the corporate portal > Settings > Reset Password.","Password reset instructions","Located in the Settings menu","Accessible through the corporate portal","2025-11-23","app001",false
2a,"How can I check my PTO balance?","You can check your PTO balance by opening Workday -> Time Off -> View Balance.","Open Workday > Time Off > View Balance page.","PTO balance information","Found under Workday Time Off","View Balance page shows available hours","2025-11-23","app002",false
3a,"Where do I update my direct deposit info?","Update direct deposit under Workday Pay, Payment Elections.","Go to Workday > Pay > Payment Elections to update direct deposit.","Workday Pay application","Payment Elections option","Used to update direct deposit details","2025-11-23","app003",false
4a,"What is the performance of the Acme company stock this year?","The Acme company stock grew 4% last quarter.","Company Acme stock performance increased 4% year over year.","Company Acme stock performance summary","From the annual report","Shows year-over-year 4% increase","2025-11-23","app004",true
5a,"How do I create a new ticket in ITSM?","In ITSM, open Create Request and fill the form.","Open ITSM > Create Request and fill in ticket details.","ITSM portal access","Create Request workflow","Form used to submit a new ticket","2025-11-23","app005",false
6a,"How can I access my pay stubs? My email is janedoe@acme.com","Go to Workday Pay, open the Payslips section.","Go to Workday > Pay > Payslips to download pay stubs.","Workday Pay area","Payslips section shows past stubs","Download pay stubs as PDF","2025-11-23","app006",false
7a,"Where do I find the security training modules?","Open Learning Hub, Compliance, then Security Training modules.","Open Learning Hub > Compliance > Security Training modules.","Learning Hub platform","Compliance category","Contains Security Training modules","2025-11-23","app007",false
8a,"How do I request new hardware?","Submit a Hardware Request form in ITSM Procurement.","Go to ITSM > Procurement > Hardware Request form and submit.","ITSM Procurement section","Hardware Request form location","Submit request for approval","2025-11-23","app008",false
9a,"How many active users did we have last month?","We had 12,400 active users last month.","Active users totaled 12,400 last month.","Monthly analytics report shows active user count","User activity dashboard lists 12,400 active users for the previous month","Engagement metrics confirm the same 12,400 active users figure","2025-11-23","app009",false
10a,"Where do I download the latest VPN client?","Use the Tools Portal VPN page to download the client.","Open Tools Portal > VPN page to download latest client.","Tools Portal access","VPN page contains installer","Download the latest VPN client","2025-11-23","app010",false
